iter	Logloss
0	0.6380550981
1	0.595212376
2	0.5572501447
3	0.5312479068
4	0.5106153157
5	0.4910576479
6	0.4744669897
7	0.4654069292
8	0.4537829845
9	0.4411315978
10	0.432634787
11	0.4253044931
12	0.4207156497
13	0.4138725448
14	0.406746382
15	0.3985859167
16	0.3931763867
17	0.3867723512
18	0.382822659
19	0.3785348797
20	0.3739750513
21	0.3714044608
22	0.3661796585
23	0.3609935913
24	0.358363987
25	0.3532795934
26	0.3471493513
27	0.3432656494
28	0.3387996725
29	0.3356407313
30	0.3329092703
31	0.3301872838
32	0.3258294388
33	0.3195467513
34	0.3169703139
35	0.3143350636
36	0.3104174192
37	0.3082718141
38	0.3055816019
39	0.3039946206
40	0.301002023
41	0.2985478031
42	0.2950240684
43	0.2940908611
44	0.2921580694
45	0.2881583289
46	0.2861671051
47	0.2844836937
48	0.2822681413
49	0.2807981404
50	0.2786424629
51	0.2740368051
52	0.2719360974
53	0.2694973959
54	0.2664473489
55	0.2629473163
56	0.2608955743
57	0.2569749234
58	0.2534986823
59	0.251960266
60	0.2507463325
61	0.247993122
62	0.2455892259
63	0.2441057845
64	0.2430875016
65	0.2400687149
66	0.2372121096
67	0.2366314355
68	0.2352704406
69	0.2331772016
70	0.2314316099
71	0.22891156
72	0.2265516125
73	0.2244615371
74	0.2234848263
75	0.2224943133
76	0.2209280929
77	0.2187813038
78	0.2170047221
79	0.2165273381
80	0.2139932401
81	0.2092377091
82	0.205221468
83	0.2029854413
84	0.202636393
85	0.2004135191
86	0.1999314006
87	0.1968797465
88	0.1961793668
89	0.1934281356
90	0.1912423506
91	0.1902274596
92	0.1888994426
93	0.1862975316
94	0.1848120241
95	0.183218876
96	0.1826432395
97	0.181689752
98	0.1802111726
99	0.178289782
100	0.1780962986
101	0.1763087962
102	0.1749731737
103	0.1739684429
104	0.1729134518
105	0.1711067417
106	0.1697516863
107	0.1673533956
108	0.1660826681
109	0.1650288396
110	0.1637019175
111	0.1635458502
112	0.162496494
113	0.1608149063
114	0.1580060233
115	0.1572652673
116	0.1558436195
117	0.1547230796
118	0.1524644411
119	0.1514458137
120	0.149752271
121	0.1491059842
122	0.1466206707
123	0.1445062168
124	0.1430310867
125	0.1419572333
126	0.1402905179
127	0.1384900975
128	0.1379936787
129	0.1370128785
130	0.1365590874
131	0.135105799
132	0.1338935606
133	0.1336837279
134	0.1321091028
135	0.1308905856
136	0.1288359733
137	0.1279104268
138	0.1261848114
139	0.1253906604
140	0.1243095961
141	0.1242265479
142	0.1228415943
143	0.1223626995
144	0.1222614186
145	0.1219029167
146	0.121032966
147	0.1209745763
148	0.1196113836
149	0.1192772786
150	0.1180818782
151	0.1168114991
152	0.1147270786
153	0.114668568
154	0.1135187689
155	0.1116103472
156	0.1107234976
157	0.1103872779
158	0.1091999873
159	0.1081902496
160	0.1072325335
161	0.106373617
162	0.104915803
163	0.1045266733
164	0.1037140641
165	0.1029066887
166	0.1024187823
167	0.1009533719
168	0.09988075091
169	0.09928172703
170	0.09885116595
171	0.097778265
172	0.09697091076
173	0.09581172914
174	0.09505390421
175	0.09410338684
176	0.09378070047
177	0.09273134532
178	0.09237550328
179	0.09173570203
180	0.09130739307
181	0.09038458404
182	0.08947567471
183	0.08944454135
184	0.08895437854
185	0.0874539196
186	0.0863867585
187	0.08562193966
188	0.08468290051
189	0.08453314688
190	0.08397305412
191	0.08334616286
192	0.08254933675
193	0.08199046341
194	0.08135347056
195	0.0805738423
196	0.08053087119
197	0.07932166523
198	0.07891886948
199	0.07802578558
